Date,TSLA,AAPL,AMZN,GOOGL,NFLX
3/14/2017,51.599998,34.747501,852.530029,865.909973,143.190002
3/15/2017,51.146,35.115002,852.969971,868.390015,145.25
3/16/2017,52.41,35.172501,853.419983,870,144.389999
3/17/2017,52.299999,34.997501,852.309998,872.369995,145.110001
3/20/2017,52.383999,35.365002,856.969971,867.909973,145.830002
3/21/2017,50.136002,34.959999,843.200012,850.140015,142.419998
3/22/2017,51.001999,35.355,848.059998,849.799988,142.649994
3/23/2017,50.956001,35.23,847.380005,839.650024,141.839996
3/24/2017,52.632,35.16,845.609985,835.140015,142.020004
3/27/2017,54.043999,35.220001,846.820007,838.51001,144.059998
3/28/2017,55.490002,35.950001,856,840.630005,145.169998
3/29/2017,55.476002,36.029999,874.320007,849.869995,146.470001
3/30/2017,55.584,35.982498,876.340027,849.47998,148.059998
3/31/2017,55.66,35.915001,886.539978,847.799988,147.809998
4/3/2017,59.703999,35.924999,891.51001,856.75,146.919998
4/4/2017,60.740002,36.192501,906.830017,852.570007,145.5
4/5/2017,59,36.005001,909.280029,848.909973,143.619995
4/6/2017,59.740002,35.915001,898.280029,845.099976,143.740005
4/7/2017,60.507999,35.834999,894.880005,842.099976,143.110001
4/10/2017,62.478001,35.7925,907.039978,841.700012,143.850006
4/11/2017,61.742001,35.407501,902.359985,839.880005,144.350006
4/12/2017,59.368,35.450001,896.22998,841.460022,143.830002
4/13/2017,60.799999,35.262501,884.669983,840.179993,142.919998
4/17/2017,60.287998,35.4575,901.98999,855.130005,147.25
4/18/2017,60.049999,35.299999,903.780029,853.98999,143.360001
4/19/2017,61.104,35.169998,899.200012,856.51001,139.759995
4/20/2017,60.501999,35.610001,902.059998,860.080017,141.179993
4/21/2017,61.119999,35.567501,898.530029,858.950012,142.869995
4/24/2017,61.605999,35.91,907.409973,878.929993,143.830002
4/25/2017,62.757999,36.1325,907.619995,888.840027,152.160004
4/26/2017,62.034,35.919998,909.289978,889.140015,150.169998
4/27/2017,61.726002,35.947498,918.380005,891.440002,153.080002
4/28/2017,62.813999,35.912498,924.98999,924.52002,152.199997
5/1/2017,64.566002,36.645,948.22998,932.820007,155.350006
5/2/2017,63.778,36.877499,946.940002,937.090027,156.449997
5/3/2017,62.203999,36.764999,941.030029,948.450012,155.589996
5/4/2017,59.091999,36.6325,937.530029,954.719971,157.25
5/5/2017,61.669998,37.240002,934.150024,950.280029,156.600006
5/8/2017,61.438,38.252499,949.039978,958.690002,156.380005
5/9/2017,64.251999,38.497501,952.820007,956.710022,157.460007
5/10/2017,65.043999,38.314999,948.950012,954.840027,160.279999
5/11/2017,64.620003,38.487499,947.619995,955.890015,158.539993
5/12/2017,64.961998,39.025002,961.349976,955.140015,160.809998
